终端编号,软件版本,硬件版本,电源电压,供电电压（mv）,备用电池电压(mv),经度,纬度,定位状态,上报时间,接收时间
YXZ4121907200151,17.17,2,0,25100,4000,118.827381,36.73831,GPS已定位,2020/2/10 11:28,2020/2/10 11:28
YXZ4121907200250,16.16,2,0,0,0,118.827647,36.738212,GPS已定位,2020/2/28 15:20,2020/2/28 15:20
YXZ4121809272523,16.17,2,0,24500,4000,118.826962,36.738454,GPS未定位,2020/1/18 21:55,2020/1/18 21:55
YXZ4121809272088,15.16,2,26,0,0,115.906392,31.867411,GPS已定位,2020/2/6 16:57,2020/2/6 16:57
YXZ4121809272942,17.17,2,0,4700,4000,121.14986,31.686828,GPS已定位,2020/1/31 21:18,2020/1/31 21:19
YXZ4121907200388,16.17,2,0,24700,4000,118.827296,36.738999,GPS已定位,2020/2/25 8:10,2020/2/25 8:10
YXZ4121809272850,16.16,2,0,0,0,115.950966,39.248619,GPS已定位,2019/12/21 19:25,2019/12/21 19:25
YXZ4121907200298,16.16,2,0,0,0,118.827308,36.738277,GPS已定位,2020/2/28 10:48,2020/2/28 10:48
YXZ4121907200281,17.17,2,0,24700,4000,118.827879,36.73854,GPS已定位,2020/1/25 9:58,2020/1/25 9:58
YXZ4121809272948,17.17,2,0,24400,3900,120.122067,30.373505,GPS已定位,2020/2/24 1:55,2020/2/24 1:55
YXZ4121907200348,17.17,2,0,24600,4000,118.826805,36.738095,GPS已定位,2020/1/23 1:39,2020/1/23 1:39
YXZ4121809272886,15.16,2,0,0,0,114.401974,34.082206,GPS已定位,2020/2/28 1:46,2020/2/28 1:46
YXZ4121907200324,16.16,2,0,0,0,112.886669,30.457345,GPS已定位,2020/2/28 10:53,2020/2/28 10:53
YXZ4121809272336,15.16,2,27.1,0,0,0.022254,0.010021,GPS未定位,2020/1/29 2:58,2020/1/29 2:57
YXZ4121809272584,15.16,2,0,0,0,112.321627,30.358464,GPS已定位,2019/9/14 4:21,2019/9/14 4:21
YX14141809200127,14.16,2,0,0,0,116.41351,32.848012,GPS未定位,2020/2/25 13:53,2020/2/25 13:53
tsjh705719020011,2.2,1,0,,,116.299211,40.081276,GPS已定位,2019/2/25 15:30,2019/2/25 15:30
YXZ4121907200217,16.16,2,0,0,0,109.052838,34.704328,GPS已定位,2020/1/20 16:03,2020/1/20 16:03
YXZ4121907200202,16.17,2,0,24600,4000,118.827779,36.738514,GPS已定位,2020/1/19 19:41,2020/1/19 19:42
YXZ4121907200022,16.16,2,0,0,0,118.827561,36.740169,GPS已定位,2020/2/28 9:57,2020/2/28 9:58
YXZ4121809272997,17.17,2,0,400,3600,116.358311,32.772129,GPS已定位,2020/1/27 17:00,2020/1/27 17:00
YXZ4121907200327,16.17,2,0,24600,4000,118.827487,36.73858,GPS已定位,2020/1/18 22:52,2020/1/18 22:52
YXZ4121907200382,16.16,2,0,0,0,116.134193,39.875923,GPS已定位,2020/2/28 13:01,2020/2/28 13:01
YXZ4121809272614,17.17,2,0,24800,4000,114.511366,30.707262,GPS未定位,2020/2/25 13:17,2020/2/25 13:17
YXZ4121907200075,17.17,2,0,24100,3900,118.827261,36.739018,GPS已定位,2020/2/16 2:50,2020/2/16 2:50
YXZ4121907200118,16.17,2,0,24500,4000,118.827468,36.738167,GPS未定位,2020/1/19 7:14,2020/1/19 7:15
YXZ4121907200040,16.16,2,26.9,0,0,118.8268,36.738646,GPS已定位,2020/1/20 14:00,2020/1/20 14:00
YXZ4121809272943,16.17,2,0,24200,3900,118.828088,36.738469,GPS已定位,2020/1/18 3:30,2020/1/18 3:31
YXZ4121907200320,17.17,2,0,24500,4000,118.82751,36.738235,GPS已定位,2020/1/21 1:26,2020/1/21 1:26
tsjh705718100007,2.2,1,14.3,,,103.726191,36.075503,GPS未定位,2020/1/5 15:51,2020/1/5 15:51
tsjh705719020020,2.2,1,0,,,116.299206,40.081265,GPS未定位,2019/8/6 15:26,2019/8/6 15:42
YXZ4121809272537,16.17,2,0,25300,4000,119.742883,34.321719,GPS已定位,2020/1/19 18:00,2020/1/19 18:00
YXZ4121907200301,16.16,2,0,0,0,118.827261,36.738899,GPS已定位,2020/1/20 14:55,2020/1/20 14:55
YXZ4121907200322,16.17,2,0,24700,4000,118.827099,36.738848,GPS已定位,2020/1/18 11:04,2020/1/18 11:04
tsjh705719020019,2.2,1,0,,,116.299195,40.081276,GPS已定位,2019/8/6 15:54,2019/8/6 15:54
YXZ4121907200027,16.16,2,0,0,0,118.826908,36.738536,GPS已定位,2020/1/20 15:48,2020/1/20 15:48
YXZ4121809272783,15.16,2,0,0,0,116.202718,40.2238,GPS未定位,2019/10/1 14:22,2019/10/1 14:22
YXZ4121809272132,16.17,2,28.3,25200,4000,117.838311,38.328422,GPS已定位,2020/1/27 17:49,2020/1/27 17:50
YXZ4121907200351,16.16,2,0,0,0,118.826967,36.73834,GPS已定位,2020/2/28 11:34,2020/2/28 11:35
YXZ4121907200257,16.16,2,0,0,0,118.828049,36.738673,GPS已定位,2020/1/20 14:55,2020/1/20 14:55
YXZ4121809272925,16.16,2,0,0,0,103.913844,27.346951,GPS已定位,2019/11/8 20:04,2019/11/8 20:04
YXZ4121809272456,16.17,2,0,400,3600,113.358138,33.751625,GPS已定位,2020/1/19 14:37,2020/1/19 14:38
YXZ4121907200058,16.17,2,0,24700,4000,114.07679,30.62564,GPS已定位,2020/1/21 4:49,2020/1/21 4:49
YXZ4121809272501,17.17,2,0,24500,4000,115.903154,32.279661,GPS已定位,2020/2/7 8:52,2020/2/7 8:52
YXZ4121907200117,17.17,2,0,24400,4000,118.827372,36.738132,GPS已定位,2020/2/8 7:21,2020/2/8 7:21
YXZ4121809272010,15.16,2,25.3,0,0,103.822411,25.549902,GPS已定位,2020/1/1 8:59,2020/1/1 8:59
YXZ4121809272542,15.16,2,27.5,0,0,116.114389,39.478631,GPS已定位,2020/2/28 15:38,2020/2/28 15:38
YXZ4121809272129,15.16,2,0,0,0,99.180024,22.180512,GPS已定位,2020/2/25 14:50,2020/2/25 14:50
YXZ4121809272122,16.17,2,28.2,25100,4000,107.918472,34.49572,GPS已定位,2020/1/18 20:35,2020/1/18 20:36
YXZ4121907200390,16.17,2,0,24900,4000,118.826793,36.738764,GPS已定位,2020/1/21 17:08,2020/1/21 17:08
